Team,Pos,No,Name,Height,Weight,DOB (YYYY-MM-DD),From
Dallas Mavericks,F/C,7,"Powell, Dwight ",6 ft 10 in (2.08 m),240 lb (109 kg),1991–07–20,Stanford
Dallas Mavericks,G/F,23,"Reaves, Josh (TW, FA)",6 ft 4 in (1.93 m),214 lb (97 kg),1997–06–04,Penn State
Dallas Mavericks,G,55,"Wright, Delon",6 ft 5 in (1.96 m),185 lb (84 kg),1992–04–26,Utah
Houston Rockets,F,5,"Caboclo, Bruno (FA)",6 ft 9 in (2.06 m),218 lb (99 kg),1995–09–21,Brazil
Houston Rockets,F,9,"Carroll, DeMarre (FA)",6 ft 6 in (1.98 m),215 lb (98 kg),1986–07–27,Missouri
Houston Rockets,C,19,"Chandler, Tyson (FA)",7 ft 0 in (2.13 m),235 lb (107 kg),1982–10–02,Dominguez HS (CA)
Houston Rockets,G,3,"Clemons, Chris",5 ft 9 in (1.75 m),180 lb (82 kg),1997–07–23,Campbell
Houston Rockets,F,33,"Covington, Robert",6 ft 7 in (2.01 m),209 lb (95 kg),1990–12–14,Tennessee State
Houston Rockets,G,21,"Frazier, Michael (TW, FA)",6 ft 3 in (1.91 m),200 lb (91 kg),1994–03–08,Florida
Houston Rockets,G,10,"Gordon, Eric ",6 ft 3 in (1.91 m),215 lb (98 kg),1988–12–25,Indiana
Houston Rockets,F,32,"Green, Jeff (FA)",6 ft 8 in (2.03 m),235 lb (107 kg),1986–08–28,Georgetown
Houston Rockets,G,13,"Harden, James",6 ft 5 in (1.96 m),220 lb (100 kg),1989–08–26,Arizona State
Houston Rockets,G/F,4,"House, Danuel",6 ft 6 in (1.98 m),220 lb (100 kg),1993–06–07,Texas A&M
Houston Rockets,F,12,"Mbah a Moute, Luc (FA)",6 ft 8 in (2.03 m),230 lb (104 kg),1986–09–09,UCLA
Houston Rockets,G,16,"McLemore, Ben",6 ft 3 in (1.91 m),195 lb (88 kg),1993–02–11,Kansas
Houston Rockets,G/F,–,"Nwaba, David ",6 ft 5 in (1.96 m),219 lb (99 kg),1993–01–14,Cal Poly San Luis Obispo
Houston Rockets,G,25,"Rivers, Austin",6 ft 3 in (1.91 m),200 lb (91 kg),1992–08–01,Duke
Houston Rockets,G/F,18,"Sefolosha, Thabo (FA)",6 ft 6 in (1.98 m),215 lb (98 kg),1984–05–02,Switzerland
Houston Rockets,F,17,"Tucker, P. J.",6 ft 5 in (1.96 m),245 lb (111 kg),1985–05–05,Texas
Houston Rockets,G,0,"Westbrook, Russell",6 ft 3 in (1.91 m),200 lb (91 kg),1988–11–12,UCLA
Memphis Grizzlies,G,3,"Allen, Grayson",6 ft 4 in (1.93 m),198 lb (90 kg),1995–10–08,Duke
Memphis Grizzlies,G/F,1,"Anderson, Kyle",6 ft 9 in (2.06 m),230 lb (104 kg),1993–09–20,UCLA
Memphis Grizzlies,G/F,24,"Brooks, Dillon",6 ft 7 in (2.01 m),225 lb (102 kg),1996–01–22,Oregon
Memphis Grizzlies,G/F,15,"Clarke, Brandon",6 ft 8 in (2.03 m),215 lb (98 kg),1996–09–19,Gonzaga
Memphis Grizzlies,C,14,"Dieng, Gorgui",6 ft 10 in (2.08 m),252 lb (114 kg),1990–01–18,Louisville
Memphis Grizzlies,G,23,"Gudurić, Marko",6 ft 6 in (1.98 m),201 lb (91 kg),1995–03–08,Serbia
Memphis Grizzlies,F/C,13,"Jackson, Jaren ",6 ft 11 in (2.11 m),242 lb (110 kg),1999–09–15,Michigan State
Memphis Grizzlies,G/F,20,"Jackson, Josh",6 ft 8 in (2.03 m),207 lb (94 kg),1997–02–10,Kansas
Memphis Grizzlies,G,21,"Jones, Tyus",6 ft 0 in (1.83 m),196 lb (89 kg),1996–05–10,Duke
Memphis Grizzlies,G,46,"Konchar, John (TW)",6 ft 5 in (1.96 m),210 lb (95 kg),1996–03–22,Fort Wayne
Memphis Grizzlies,G,0,"Melton, De'Anthony",6 ft 2 in (1.88 m),200 lb (91 kg),1998–05–28,Southern California
Memphis Grizzlies,G,12,"Morant, Ja",6 ft 3 in (1.91 m),174 lb (79 kg),1999–08–10,Murray State
Memphis Grizzlies,F/C,–,"Porter, Jontay ",6 ft 11 in (2.11 m),240 lb (109 kg),1999–11–15,Missouri
Memphis Grizzlies,F,44,"Tolliver, Anthony",6 ft 8 in (2.03 m),240 lb (109 kg),1985–06–01,Creighton
Memphis Grizzlies,C,17,"Valančiūnas, Jonas",6 ft 11 in (2.11 m),265 lb (120 kg),1992–05–06,Lithuania
Memphis Grizzlies,G/F,18,"Watanabe, Yuta (TW)",6 ft 8 in (2.03 m),215 lb (98 kg),1994–10–13,George Washington
Memphis Grizzlies,G/F,7,"Winslow, Justise ",6 ft 6 in (1.98 m),222 lb (101 kg),1996–03–26,Duke
New Orleans Pelicans,G,0,"Alexander-Walker, Nickeil",6 ft 5 in (1.96 m),205 lb (93 kg),1998–09–02,Virginia Tech
New Orleans Pelicans,G,2,"Ball, Lonzo",6 ft 6 in (1.98 m),190 lb (86 kg),1997–10–27,UCLA
New Orleans Pelicans,F,45,"Cheatham, Zylan (TW)",6 ft 5 in (1.96 m),220 lb (100 kg),1995–11–17,Arizona State
New Orleans Pelicans,F,22,"Favors, Derrick",6 ft 9 in (2.06 m),265 lb (120 kg),1991–07–15,Georgia Tech
New Orleans Pelicans,G,5,"Gray, Josh (TW)",6 ft 0 in (1.83 m),180 lb (82 kg),1993–09–09,LSU
New Orleans Pelicans,G,3,"Hart, Josh",6 ft 5 in (1.96 m),215 lb (98 kg),1995–03–06,Villanova
New Orleans Pelicans,F/C,10,"Hayes, Jaxson",6 ft 11 in (2.11 m),220 lb (100 kg),2000–05–23,Texas
New Orleans Pelicans,G,11,"Holiday, Jrue",6 ft 3 in (1.91 m),205 lb (93 kg),1990–06–12,UCLA
New Orleans Pelicans,F,14,"Ingram, Brandon",6 ft 7 in (2.01 m),190 lb (86 kg),1997–09–02,Duke
New Orleans Pelicans,G,15,"Jackson, Frank",6 ft 3 in (1.91 m),205 lb (93 kg),1998–05–04,Duke
New Orleans Pelicans,F,20,"Melli, Nicolò",6 ft 9 in (2.06 m),236 lb (107 kg),1991–01–26,Italy
New Orleans Pelicans,F,21,"Miller, Darius ",6 ft 6 in (1.98 m),225 lb (102 kg),1990–03–21,Kentucky
New Orleans Pelicans,G,55,"Moore, E'Twaun",6 ft 3 in (1.91 m),191 lb (87 kg),1989–02–25,Purdue
New Orleans Pelicans,F/C,9,"Okafor, Jahlil",6 ft 10 in (2.08 m),270 lb (122 kg),1995–12–15,Duke
New Orleans Pelicans,G,4,"Redick, JJ",6 ft 3 in (1.91 m),200 lb (91 kg),1984–06–24,Duke
New Orleans Pelicans,G,12,"Thornwell, Sindarius",6 ft 4 in (1.93 m),215 lb (98 kg),1994–11–15,South Carolina
New Orleans Pelicans,G/F,34,"Williams, Kenrich",6 ft 6 in (1.98 m),210 lb (95 kg),1994–12–02,TCU
New Orleans Pelicans,F,1,"Williamson, Zion",6 ft 6 in (1.98 m),284 lb (129 kg),2000–07–06,Duke
San Antonio Spurs,F/C,12,"Aldridge, LaMarcus ",6 ft 11 in (2.11 m),260 lb (118 kg),1985–07–19,Texas
San Antonio Spurs,G,18,"Belinelli, Marco (FA)",6 ft 5 in (1.96 m),210 lb (95 kg),1986–03–25,Italy
San Antonio Spurs,G/F,10,"DeRozan, DeMar",6 ft 6 in (1.98 m),220 lb (100 kg),1989–08–07,Southern California
San Antonio Spurs,F/C,14,"Eubanks, Drew (TW, FA)",6 ft 10 in (2.08 m),250 lb (113 kg),1997–02–01,Oregon State
San Antonio Spurs,G,11,"Forbes, Bryn (FA)",6 ft 2 in (1.88 m),190 lb (86 kg),1993–07–23,Michigan State
San Antonio Spurs,G/F,22,"Gay, Rudy",6 ft 8 in (2.03 m),230 lb (104 kg),1986–08–17,Connecticut
San Antonio Spurs,G/F,3,"Johnson, Keldon",6 ft 5 in (1.96 m),211 lb (96 kg),1999–10–11,Kentucky
San Antonio Spurs,F,41,"Lyles, Trey ",6 ft 9 in (2.06 m),234 lb (106 kg),1995–11–05,Kentucky
San Antonio Spurs,F/C,7,"Metu, Chimezie",6 ft 10 in (2.08 m),225 lb (102 kg),1997–03–22,Southern California
San Antonio Spurs,G,8,"Mills, Patty",6 ft 1 in (1.85 m),180 lb (82 kg),1988–08–11,Saint Mary's
San Antonio Spurs,G,5,"Murray, Dejounte",6 ft 4 in (1.93 m),170 lb (77 kg),1996–09–19,Washington
San Antonio Spurs,C,25,"Pöltl, Jakob (FA)",7 ft 1 in (2.16 m),230 lb (104 kg),1995–10–15,Utah
San Antonio Spurs,F,19,"Šamanić, Luka",6 ft 11 in (2.11 m),227 lb (103 kg),2000–01–09,Croatia
San Antonio Spurs,G/F,1,"Walker, Lonnie",6 ft 5 in (1.96 m),205 lb (93 kg),1998–12–14,Miami (FL)
San Antonio Spurs,G,15,"Weatherspoon, Quinndary (TW, FA)",6 ft 4 in (1.93 m),207 lb (94 kg),1996–09–10,Mississippi State
San Antonio Spurs,G,4,"White, Derrick",6 ft 4 in (1.93 m),190 lb (86 kg),1994–07–02,Colorado
San Antonio Spurs,C,45,"Zeller, Tyler",6 ft 11 in (2.11 m),255 lb (116 kg),1990–01–17,North Carolina
